Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Family,Genus,Species,Code,Number,Stage,Activity,Comment
PL_L_WRECK_W_7-2-21_P02.MP4,12462,16:56.4,T2,00:29.7,244.111,19.209,12.568,2103.26,15.485,44.399,14.645,-532.738,-177.488,-2026.917,Wreck_East_07022021,GFG,30-37m,Scaridae,Scarus,oviceps,37386022,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,12462,16:56.4,T2,00:29.7,114.488,10.093,3.899,1804.171,32.175,22.639,21.622,-960.562,17.69,-1527.102,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Ctenochaetus,striatus,37437022,2,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,12462,16:56.4,T2,00:29.7,115.906,13.663,21.39,2397.317,26.772,24.259,17.279,413.804,-997.411,-2140.343,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Acanthurus,pyroferus,37437017,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,12477,16:56.9,T2,00:30.2,124.282,7.453,16.415,1562.597,25.409,33.286,9.501,194.935,-641.517,-1411.441,Wreck_East_07022021,GFG,30-37m,Pomacanthidae,Genicanthus,,,1,AD,Passing,watanabei
PL_L_WRECK_W_7-2-21_P02.MP4,12545,16:59.2,T2,00:32.5,137.317,7.311,17.19,1496.651,18.185,35.683,27.778,93.04,-457.717,-1421.902,Wreck_East_07022021,GFG,30-37m,Mullidae,Parupeneus,multifasciatus,37355026,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,12555,16:59.5,T2,00:32.8,103.773,9.796,9.466,1390.519,25.23,66.854,13.127,-591.789,-33.23,-1257.865,Wreck_East_07022021,GFG,30-37m,Chaetodontidae,Chaetodon,lunulatus,37365059,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,12555,16:59.5,T2,00:32.8,128.043,28.962,9.603,2838.628,34.655,64.91,34.534,-1517.051,551.377,-2335.027,Wreck_East_07022021,GFG,30-37m,Pomacentridae,Acanthochromis,polyacanthus,37372015,5,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,13031,17:15.4,T2,00:48.7,179.057,29.056,10.94,3190.582,30.089,2.675,0.825,-1585.445,212.07,-2760.653,Wreck_East_07022021,GFG,30-37m,Labridae,Thalassoma,lutescens,37384168,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,13231,17:22.1,T2,00:55.4,222.189,22.935,13.019,3120.652,22.799,10.416,17.697,-1160.57,339.689,-2876.831,Wreck_East_07022021,GFG,30-37m,Scaridae,Scarus,sp,,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,13231,17:22.1,T2,00:55.4,125.014,23.605,9.321,3181.449,28.113,10.795,33.733,-1417.164,488.873,-2806.112,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Ctenochaetus,striatus,37437022,2,AD,Passing,
