"Survey","Reef","Site","Transect","Length_mm","Family","Genus","Species","Number","Comment","T_ID"
NA,"Bougainville","BVille_1","T11",2855.42,"Carcharhinidae","Carcharhinus","albimarginatus",1,NA,"NA_BVille_1_T11"
NA,"Bougainville","BVille_1","T11",97.139,"Chaetodontidae","Chaetodon","plebeius",1,NA,"NA_BVille_1_T11"
NA,"Bougainville","BVille_1","T11",196.391,"Labridae","Cheilinus","fasciatus",1,NA,"NA_BVille_1_T11"
NA,"Bougainville","BVille_1","T11",53.205,"Pomacentridae","Acanthochromis","polyacanthus",8,NA,"NA_BVille_1_T11"
NA,"Bougainville","BVille_1","T11",122.966,"Acanthuridae","Acanthurus","thompsoni",6,NA,"NA_BVille_1_T11"
NA,"Bougainville","BVille_1","T11",50.972,"Pomacentridae","Chromis","amboinensis",8,NA,"NA_BVille_1_T11"
NA,"Bougainville","BVille_1","T11",185.899,"Holocentridae","Myripristis","sp",1,NA,"NA_BVille_1_T11"
NA,"Bougainville","BVille_1","T11",268.999,"Acanthuridae","Acanthurus","thompsoni",6,NA,"NA_BVille_1_T11"
NA,"Bougainville","BVille_1","T11",173.597,"Acanthuridae","Acanthurus","thompsoni",8,NA,"NA_BVille_1_T11"
NA,"Bougainville","BVille_1","T11",57.992,"Pomacentridae","Chromis","iomelas",8,NA,"NA_BVille_1_T11"
NA,"Bougainville","BVille_1","T11",68.548,"Pomacentridae","Chromis","amboinensis",16,NA,"NA_BVille_1_T11"
NA,"Bougainville","BVille_1","T11",176.961,"Labridae","Oxycheilinus","digrammus",1,NA,"NA_BVille_1_T11"
NA,"Bougainville","BVille_1","T11",47.238,"Pomacentridae","Chromis","iomelas",5,NA,"NA_BVille_1_T11"
NA,"Bougainville","BVille_1","T11",92.526,"Serranidae","Pseudanthias","tuka",1,NA,"NA_BVille_1_T11"
NA,"Bougainville","BVille_1","T11",161.512,"Acanthuridae","Acanthurus","thompsoni",4,NA,"NA_BVille_1_T11"
NA,"Bougainville","BVille_1","T12",359.16,"Acanthuridae","Naso","vlamingii",1,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",140.542,"Pomacentridae","Chromis","xanthochira",4,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",94.785,"Pomacentridae","Chromis","alpha",2,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",82.626,"Pomacentridae","Chromis","amboinensis",3,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",173.231,"Acanthuridae","Acanthurus","thompsoni",4,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",801.717,"Carcharhinidae","Triaenodon","obesus",1,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",62.093,"Pomacentridae","Chromis","iomelas",8,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",206.772,"Scaridae","Scarus","psittacus",1,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",838.497,"Carcharhinidae","Triaenodon","obesus",1,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",90.007,"Chaetodontidae","Chaetodon","mertensi",1,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",281.109,"Scaridae","Scarus","sp",1,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",229.409,"Lutjanidae","Lutjanus","kasmira",5,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",199.666,"Mullidae","Mulloidichthys","vanicolensis",1,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",163.908,"Chaetodontidae","Hemitaurichthys","polylepis",6,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",118.336,"Labridae","Labroides","bicolor",1,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",94.899,"Chaetodontidae","Chaetodon","plebeius",1,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",152.485,"Labridae","Oxycheilinus","unifasciatus",3,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",201.628,"Chaetodontidae","Forcipiger","flavissimus",1,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",340.719,"Lutjanidae","Macolor","niger",1,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",191.871,"Acanthuridae","Acanthurus","thompsoni",6,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",165.919,"Acanthuridae","Acanthurus","pyroferus",1,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",126.442,"Pomacentridae","Chromis","xanthochira",6,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",104.45,"Pomacentridae","Acanthochromis","polyacanthus",12,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",189.876,"Chaetodontidae","Forcipiger","flavissimus",1,NA,"NA_BVille_1_T12"
