Species,Southern,Central,Northern,Cryptobenthic
Sebastapistes cyanostigma,,,,1
Sebastapistes cyanostigma ,,,1,
Serranocirrhites latus,1,1,1,
Siganus argenteus,1,1,1,
Siganus corallinus,1,1,,
Siganus doliatus *,,,,
Siganus puellus,1,,,
Siganus punctatissimus,,1,,
Siganus punctatus,1,1,1,
Siganus vulpinus,1,1,1,
Siganus woodlandi,1,1,,
Siphamia tubifer,,,,1
Sphyraena barracuda ,1,1,1,
Sphyraena forsteri,,1,,
Stegastes fasciolatus ,1,1,1,
Stegastes gascoynei,1,,,
Stegastes nigricans,1,1,1,1
Stegostoma fasciatum,1,1,,
Stethojulis bandanensis,1,1,1,1
Stethojulis interrupta,1,,,
Stethojulis strigiventer,1,1,1,
Sufflamen bursa,1,1,1,
Sufflamen chrysopterum,1,1,1,
Suttonia lineata,,,,1
Synodus binotatus,,,,1
Synodus dermatogenys,,,,1
Synodus variegatus,1,1,1,
Synodus varigatus,,,,1
Taeniura lymma,,1,,
Taeniura meyeni,1,1,,
Thalassoma amblycephalum,1,1,1,1
Thalassoma hardwicke,1,1,1,
Thalassoma lunare ,1,1,1,
Thalassoma lutescens,1,1,1,1
Thalassoma nigrofasciatum,1,1,1,
Thalassoma purpureum,1,1,1,
Thalassoma quinquevittatum ,1,1,1,
Thalassoma trilobatum,,1,1,
Thysanophrys celebicus,,,,1
Trachinotus baillonii,,,1,
Trachinotus blochii,,,1,
Triaenodon obesus,1,1,1,
Trimma caesiura,,,,1
Trimma emeryi,,,,1
Trimma lantana,,,,1
Trimma macrophthalma,,,,1
Trimma maiandros,,,,1
Trimma milta,,,,1
Trimma necopinna,,,,1
Trimma okinawae,,,,1
Trimma sp.,,,,1
Trimmatom eviotops,,,,1
Trimmatom macropodus,,,,1
Trimmatom nanus,,,,1
Trimmatom sp.,,,,1
Ucla xenogrammus,,,,1
Valenciennea strigata ,,1,1,
Variola albimarginata ,,1,1,
Variola louti ,1,1,1,
Xenisthmus eirospilus,,,,1
Zanclus cornutus,1,1,1,
Zebrasoma scopas,1,1,1,
Zebrasoma velifer,1,1,1,
,318,385,355,213
